22.34,-70.69,143.18,-155.96,13.91,82.98,-74.72,206.86,-244.94,27.41,61.38,-9.73,28.69,-27.85,161.64,-236.95,241.59,-129.61,-2.14,-38.03,163.53,-185.68,-71.28,119.36,-298.12,70.75,92.97,-88.55,434.42,-398.33,285.29,81.21,-705.94,-343.66,-545.38,-1753.85,110.17,105.17,-51.16,8.50,-17.76,-77.09,31.53,-93.33,-12.08,-121.58,-12.62,-12.09,120.61,-0.56,16.33,-56.91,-102.30,49.65,-87.61,-61.68,-24.39,21.56,66.49,32.99,-63.35,4.91,112.76,109.04,-5.79,146.26,114.27,39.10,19.61,69.08,73.82,152.84,17.13,120.01,20.06,175.85,77.53,100.92,4.00,48.94,86.01,70.57,12.14,46.45,6.91,46.84,152.86,-5.75,129.14,99.47,99.73,61.78,134.10,107.39,105.51,29.40,46.43,99.77,113.92,160.30
24.79,-105.17,171.70,-111.48,-56.59,136.61,-141.99,243.67,-263.76,65.03,41.99,0.37,34.35,-53.35,184.47,-245.52,238.20,-124.48,0.44,-26.55,167.18,-209.96,-50.08,77.86,-278.87,116.40,71.31,-136.74,409.44,-456.41,458.83,-180.75,-615.28,-274.71,-550.34,-1961.17,91.92,93.94,-55.61,17.37,-17.35,-58.29,34.51,-68.43,1.81,-126.19,4.30,2.86,114.10,23.61,-37.14,-84.47,-107.42,38.42,-96.11,-47.31,19.26,64.33,83.42,69.27,-26.48,7.21,93.54,104.36,-10.23,120.41,123.97,44.27,-9.39,73.14,47.07,126.73,21.57,143.03,7.72,162.46,92.40,87.82,12.94,31.99,106.14,90.49,6.42,78.64,3.04,65.37,150.36,8.41,136.16,127.57,84.18,82.66,119.19,131.20,86.83,47.10,69.26,110.95,124.60,155.30
25.51,-132.29,188.18,-59.20,-123.13,180.67,-199.32,263.41,-264.10,98.09,19.64,10.45,37.60,-75.11,194.38,-236.88,218.13,-110.63,2.99,-13.21,159.13,-219.52,-25.37,30.91,-240.07,153.90,44.65,-175.35,355.78,-482.52,600.22,-430.04,-481.51,-186.50,-516.74,-2031.07,67.23,76.12,-56.17,25.01,-15.73,-35.40,35.08,-38.73,15.58,-121.95,20.92,17.62,99.60,46.12,-87.99,-106.12,-105.01,24.50,-97.87,-29.64,61.55,102.59,94.51,100.69,12.24,9.01,67.77,92.36,-13.95,86.13,124.97,46.35,-37.72,72.09,17.02,91.74,24.51,156.02,-5.16,137.67,100.79,68.56,20.97,12.79,118.84,104.06,0.26,105.31,-1.04,79.32,137.33,21.98,133.64,146.73,62.74,97.74,95.93,145.82,62.07,61.49,87.24,114.36,126.55,139.42
24.44,-150.13,191.49,-2.76,-181.05,212.07,-242.68,264.69,-245.94,124.28,-4.07,19.80,38.22,-91.61,190.67,-211.64,182.77,-89.02,5.33,1.05,139.92,-213.71,1.11,-18.21,-184.45,180.61,14.86,-201.68,277.19,-474.81,699.55,-649.20,-314.00,-85.23,-446.92,-1958.65,37.83,52.97,-52.80,30.90,-13.00,-10.04,33.19,-6.32,28.25,-109.17,36.08,31.13,78.12,65.40,-132.69,-120.33,-95.24,8.86,-92.77,-9.89,99.54,133.66,98.97,125.07,50.10,10.18,37.24,73.90,-16.70,45.81,117.22,45.17,-63.42,65.98,-14.23,50.32,25.72,158.08,-17.68,103.25,102.12,44.50,27.54,-7.30,123.21,110.34,-5.93,124.61,-5.05,87.72,114.67,34.02,121.76,155.60,36.91,105.98,65.95,150.22,32.96,71.58,99.10,109.75,119.64,113.77
21.66,-157.46,181.37,53.87,-226.27,228.62,-269.04,247.42,-210.54,141.76,-27.51,27.76,36.16,-101.69,173.60,-171.57,134.61,-61.18,7.29,15.24,110.91,-192.92,27.52,-66.06,-115.91,194.67,-15.97,-213.87,179.18,-433.84,749.86,-822.87,-124.49,22.02,-345.80,-1749.00,5.78,26.11,-45.72,34.63,-9.37,16.03,28.97,26.53,38.94,-88.74,48.70,42.47,51.16,80.10,-168.08,-126.10,-78.80,-7.39,-81.17,10.56,130.54,155.37,96.49,140.67,84.45,10.63,4.11,50.25,-18.27,2.29,101.26,40.83,-84.67,55.25,-44.47,5.38,25.13,149.07,-28.97,61.58,96.30,17.32,32.17,-26.88,118.94,108.89,-11.70,135.17,-8.71,89.97,83.98,43.67,101.35,153.58,8.48,106.79,31.35,144.10,1.55,76.65,104.02,97.45,104.34,80.15
17.36,-153.75,158.55,106.72,-255.65,229.14,-276.54,212.82,-160.39,149.31,-49.01,33.78,31.57,-104.65,144.36,-119.48,77.01,-29.06,8.75,28.37,74.13,-158.61,52.00,-109.27,-39.25,195.08,-45.68,-211.08,68.61,-362.47,747.64,-938.88,73.74,127.72,-220.44,-1416.80,-26.67,-2.58,-35.44,35.93,-5.07,40.98,22.72,57.53,46.91,-62.09,57.91,50.83,20.62,89.19,-191.70,-123.04,-56.84,-23.13,-63.88,30.27,152.40,166.19,87.26,146.43,112.89,10.34,-29.31,23.09,-18.57,-41.40,78.20,33.63,-99.99,40.65,-71.60,-39.94,22.78,129.61,-38.22,15.61,83.73,-11.07,34.55,-44.58,106.35,99.81,-16.64,136.27,-11.75,85.91,47.40,50.26,73.83,140.79,-20.53,100.12,-5.45,127.88,-29.98,76.35,101.66,78.33,81.73,40.91
11.85,-139.27,124.62,152.10,-267.11,213.61,-264.67,163.31,-99.00,146.40,-67.08,37.43,24.76,-100.27,105.01,-59.02,14.02,5.11,9.59,39.50,32.16,-113.19,72.83,-144.83,40.17,181.83,-72.19,-193.50,-46.77,-265.70,693.03,-989.11,266.81,224.47,-79.64,-985.32,-57.26,-31.09,-22.68,34.72,-0.42,63.05,14.88,84.49,51.58,-31.09,63.07,55.63,-11.37,92.02,-201.89,-111.36,-30.89,-37.25,-42.12,47.85,163.59,165.36,71.91,141.92,133.41,9.32,-60.68,-5.70,-17.56,-82.19,49.67,24.08,-108.30,23.20,-93.72,-82.47,18.84,101.07,-44.79,-31.46,65.29,-38.69,34.51,-59.16,86.30,83.74,-20.43,127.81,-13.98,75.84,7.50,53.33,41.14,118.14,-48.11,86.43,-41.87,102.70,-59.41,70.71,92.16,53.71,53.39,-1.19
5.50,-115.03,81.96,186.82,-259.85,183.11,-234.25,102.35,-30.68,133.22,-80.45,38.45,16.22,-88.87,58.30,5.57,-49.95,38.91,9.76,47.87,-12.07,-59.83,88.56,-170.24,116.76,155.84,-93.64,-162.36,-158.86,-150.31,589.86,-970.04,441.18,305.50,66.74,-484.81,-83.83,-57.43,-8.33,31.07,4.26,80.71,6.00,105.53,52.65,2.09,63.81,56.53,-42.56,88.41,-197.93,-91.88,-2.79,-48.76,-17.41,62.08,163.31,152.95,51.52,127.47,144.59,7.65,-87.80,-34.08,-15.32,-117.21,17.65,12.83,-109.03,4.12,-109.26,-119.21,13.57,65.45,-48.23,-76.33,42.28,-63.59,32.05,-69.59,60.20,61.80,-22.78,110.40,-15.22,60.45,-32.92,52.66,5.57,87.21,-72.32,66.68,-75.36,70.32,-84.67,60.10,76.21,25.33,21.31,-43.21
-1.23,-82.73,33.55,208.45,-234.39,139.78,-187.42,34.22,39.80,110.72,-88.19,36.79,6.54,-71.24,7.51,69.78,-110.43,69.99,9.24,52.88,-55.45,-2.29,98.09,-183.73,185.18,118.92,-108.53,-119.85,-259.83,-24.39,445.36,-882.99,584.64,365.12,208.45,49.67,-104.53,-79.73,6.60,25.24,8.64,92.71,-3.30,119.18,50.02,35.12,60.07,53.47,-70.77,78.60,-180.10,-65.96,25.52,-56.86,8.52,71.97,151.58,129.83,27.52,104.08,145.64,5.44,-108.76,-60.08,-12.01,-144.03,-15.60,0.69,-102.11,-15.24,-117.15,-147.60,7.35,25.24,-48.29,-115.85,16.30,-84.04,27.35,-75.14,29.89,35.53,-23.53,85.26,-15.40,40.83,-71.04,48.30,-30.39,50.17,-91.46,42.27,-103.56,33.02,-104.00,45.29,54.92,-4.82,-12.26,-82.20
-7.88,-44.63,-17.21,215.47,-192.50,86.65,-127.46,-36.31,107.48,80.45,-89.74,32.54,-3.59,-48.62,-43.81,129.09,-163.16,96.16,8.08,54.19,-94.95,55.42,100.74,-184.34,240.63,73.68,-115.82,-68.93,-342.59,103.23,269.65,-734.08,687.14,399.15,335.55,580.68,-117.91,-96.45,21.08,17.65,12.41,98.21,-12.37,124.48,43.89,65.69,52.13,46.67,-94.02,63.29,-149.66,-35.42,52.03,-60.96,33.86,76.80,129.24,97.60,1.60,73.41,136.48,2.86,-122.10,-81.87,-7.86,-160.75,-47.76,-11.50,-88.04,-33.54,-116.84,-165.65,0.62,-16.74,-44.96,-147.25,-10.81,-98.60,20.73,-75.43,-2.52,6.77,-22.64,54.14,-14.49,18.34,-104.18,40.56,-64.23,9.62,-104.19,14.89,-124.51,-6.60,-116.04,27.30,29.79,-34.63,-44.97,-115.44
